MAVBLCKSCTN,MAVFROMSTTNCODE,MAVTOSTTNCODE,MAVSUBSCTNNAME,MANINTRDIST,MANNUMBLINES,MANNUMBSGNL,MANNUMBLVLCRSG,MAVSGNLTYPE,MAVGAUGE,MAVTRTNTYPE,MAVDVSNCODE,MADMDFYTIME,MAVMDFYBY,MACFREZFLAG,MACFLAG,MACSDNGBLCKSCTN,MACFREZRUNTIME,MADRUNTIMEMDFYTIME,MAVRUNTIMEMDFYBY,MANCOABLCKSCTN,MAVSCTNCODE,MANSTATUS,MANRBSDISTANCE,MANICMSINTRDIST,MAVTRAFFICTYPE,MADVALIDFROM,MADVALIDTO,MANMAXSPEED,MAVDRTN,MANSIGNALNUMB,MAVSIGNALPOSN
CPP-GVI,CPP,GVI,KTV-PSA,6.57,2,0,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,1,PSA-VSKP,1,6.57,6.58,CG,8/15/2018,12/31/2099,130,UP,0,
NWP-TEK,NWP,TEK,NOT-EXIST,6.63,1,1,5,AB,B,E,WAT,5/28/2025,SCTN - WAT1,Y,N,N,Y,3/30/2023,WAT1,0,NWP-GNPR,1,6.63,6.63,C,8/15/2018,12/31/2099,75,UP,0,
TEK-NWP,TEK,NWP,NOT-EXIST,6.63,1,1,5,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,0,GNPR-NWP,1,6.63,6.63,C,8/15/2018,12/31/2099,110,DN,0,
PSA-SUDV,PSA,SUDV,PSA-BALU,6.64,2,0,4,AB,B,E,KUR,2/22/2025,ECORZN3,N,N,N,Y,9/19/2023,ECORZN3,1,PSA-KUR,1,6.64,6.64,CG,8/15/2018,12/31/2099,130,DN,0,
SUDV-PSA,SUDV,PSA,PSA-BALU,6.64,2,0,4,AB,B,E,KUR,3/20/2025,SCTN - KURKSB,N,N,N,Y,9/16/2023,KURKSB,1,KUR-PSA,1,6.64,6.64,CG,8/15/2018,12/31/2099,130,UP,0,
RMZ-NWP,RMZ,NWP,NOT-EXIST,7.01,2,1,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,0,PSA-VSKP,1,7.01,7.01,CG,8/15/2018,12/31/2099,130,UP,0,
NWP-RMZ,NWP,RMZ,NOT-EXIST,7.01,2,1,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,0,VSKP-PSA,1,7.01,7.01,CG,8/15/2018,12/31/2099,130,DN,0,
ALM-KUK,ALM,KUK,KTV-PSA,7.11,3,0,1,AT,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,1,VSKP-PSA,1,7.11,7.11,CG,8/15/2018,12/31/2099,130,DN,0,
KUK-ALM,KUK,ALM,KTV-PSA,7.11,3,0,1,AT,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,1,PSA-VSKP,1,7.11,7.11,CG,8/15/2018,12/31/2099,130,UP,0,
KPL-KTV,KPL,KTV,KTV-PSA,7.74,3,0,1,AT,B,E,WAT,4/25/2025,WAT1,Y,N,N,Y,8/17/2023,WAT1,1,PSA-VSKP,1,7.74,7.74,CG,8/15/2018,12/31/2099,130,UP,0,
